SSN,Name,Sex,Credit Score,Age,Address
528-63-7487,Terry Devan,male,745,43,"2787 Lenna Ports Apt. 690 Howellside, UT 17704-7012"
506-37-6718,Powlowski Aliyah,female,654,42,"354 Cristal Estate Robertsshire, NE 24967"
543-36-6832,Beer Oda,male,754,29,"9889 Lebsack Keys Apt. 932 Ibrahimshire, OR 30980-6049"
517-10-9888,Kohler Linnea,female,569,44,"62551 Hyatt Greens Suite 104 Hammesview, MT 70877-7913"
472-14-2785,Simonis Michaela,female,423,27,"806 Sanford Fields Ziemannchester, MN 32432"
199-54-8963,Nolan Catharine,female,500,28,"8046 Ward Key Suite 746 Barneyport, PA 46071-0502"
518-33-2233,Walsh Torrey,male,800,46,"138 Collins Club Suite 608 Port Harleyton, ID 87693-2649"
430-46-0936,Anderson Neha,female,409,44,"63263 Purdy Pass Suite 374 Leviville, AR 50421"
649-46-9099,Kemmer Dixie,female,607,45,"1852 Stark Inlet Apt. 204 Doylestad, NM 80428"
303-42-5878,VonRueden Sheila,female,758,39,"47807 Hane Fort Suite 467 Mitchelltown, IN 67321-9628"
115-94-5076,Hyatt Lera,female,596,43,"46115 Laila Mills Suite 775 Elliotfort, NY 87898-3869"
387-29-8475,Boyle Kathleen,female,648,47,"315 Yost Junctions Apt. 637 Kylaview, WI 31002-0685"
652-20-3135,Braun Mathew,male,702,41,"5521 Danial Loaf Suite 057 Homenickview, CO 50859"
222-02-8359,Jacobs Kristopher,male,709,29,"31611 Braxton Curve Suite 431 East Goldamouth, DE 52708-9370"
462-45-4807,Shanahan Hailee,female,806,28,"68906 Russel Drive Feeneyview, TX 14967-1104"
409-46-5267,Hills Gerardo,male,769,45,"675 Gunnar Passage Suite 434 Eramouth, TN 03566"
518-23-1292,Leuschke Ariane,female,654,35,"26000 Shields Throughway Suite 651 Jalynshire, ID 21462"
006-06-8649,Batz Jeff,male,750,42,"7608 Aisha Rapids Apt. 797 Botsfordburgh, ME 25490-8764"
214-04-3884,Thiel Johnpaul,male,610,45,"2389 Joe Mount North Kileyfurt, MD 57522"
124-36-7709,Braun Rico,male,590,42,"662 Schumm Manor Suite 403 South Norene, NY 33926-9038"
